unit_id,process_step,machine_id,speed,force_kN,temperature_C,pressure_bar,power_usage_kW
U-1193,laser_cutting,L-01,18.79,,294.26,12.48,18.03
U-1193,bending,B-02,10.7,87.31,27.34,,7.12
U-1193,welding,W-02,0.53,,1532.38,2.9,10.19
U-1194,laser_cutting,L-01,18.96,,300.09,11.91,15.93
U-1194,bending,B-01,9.97,72.12,26.73,,7.92
U-1194,welding,W-02,0.58,,1506.08,3.45,9.87
U-1195,laser_cutting,L-01,19.49,,314.63,12.58,19.35
U-1195,bending,B-02,11.84,74.61,27.54,,7.11
U-1195,welding,W-02,0.53,,1585.63,3.16,9.71
U-1196,laser_cutting,L-03,23.15,,337.77,13.56,18.15
U-1196,bending,B-02,11.27,85.96,29.53,,7.78
U-1196,welding,W-01,0.55,,1450.54,3.05,9.14
U-1197,laser_cutting,L-03,22.42,,324.16,12.68,17.91
U-1197,bending,B-02,10.77,83.86,29.53,,6.82
U-1197,welding,W-02,0.51,,1440.75,2.88,8.64
U-1198,laser_cutting,L-03,23.49,,326.91,13.03,19.48
U-1198,bending,B-02,11.16,79.4,28.96,,6.42
U-1198,welding,W-02,0.59,,1519.01,3.09,9.01
U-1199,laser_cutting,L-01,19.42,,311.53,12.41,18.82
U-1199,bending,B-01,9.24,72.39,26.66,,7.21
U-1199,welding,W-02,0.58,,1459.98,3.05,10.2
U-1200,laser_cutting,L-03,23.42,,308.22,14.82,19.85
U-1200,bending,B-01,10.42,84.21,27.7,,6.52
U-1200,welding,W-02,0.52,,1529.09,3.28,9.98
U-1201,laser_cutting,L-01,18.74,,288.31,12.83,18.1
U-1201,bending,B-02,11.13,79.49,30.0,,7.91
U-1201,welding,W-02,0.55,,1465.74,3.47,8.58
U-1202,laser_cutting,L-02,20.26,,321.61,13.54,17.01
U-1202,bending,B-01,10.5,77.33,28.62,,6.5
U-1202,welding,W-02,0.54,,1589.39,3.18,10.43
U-1203,laser_cutting,L-03,23.51,,314.92,13.78,16.38
U-1203,bending,B-01,10.14,75.39,26.76,,6.49
U-1203,welding,W-01,0.61,,1474.88,2.87,9.26
U-1204,laser_cutting,L-02,20.92,,325.04,13.39,17.63
U-1204,bending,B-02,10.6,77.41,28.48,,6.48
U-1204,welding,W-01,0.64,,1508.49,2.71,8.99
U-1205,laser_cutting,L-02,19.57,,316.15,13.14,19.44
U-1205,bending,B-01,9.4,84.38,28.32,,7.48
U-1205,welding,W-02,0.52,,1519.49,2.91,9.32
U-1206,laser_cutting,L-01,18.81,,314.99,12.81,17.7
U-1206,bending,B-02,10.79,84.21,28.86,,6.51
U-1206,welding,W-02,0.54,,1494.85,3.4,8.79
U-1207,laser_cutting,L-01,21.72,,292.99,13.77,18.44
U-1207,bending,B-01,9.57,74.95,29.1,,7.42
U-1207,welding,W-01,0.63,,1479.78,3.09,8.72
U-1208,laser_cutting,L-01,19.17,,321.05,12.3,16.53
U-1208,bending,B-02,11.17,84.85,26.66,,6.89
U-1208,welding,W-02,0.53,,1513.48,3.04,10.77
U-1209,laser_cutting,L-03,23.8,,333.84,14.23,19.79
U-1209,bending,B-02,11.43,75.16,29.74,,7.14
U-1209,welding,W-02,0.51,,1413.18,3.41,9.29
U-1210,laser_cutting,L-02,21.63,,319.29,13.09,18.51
U-1210,bending,B-01,9.91,75.34,25.83,,7.09
U-1210,welding,W-02,0.51,,1539.4,3.06,8.99
U-1211,laser_cutting,L-02,21.26,,299.01,14.31,18.76
U-1211,bending,B-02,10.76,88.35,29.85,,6.89
U-1211,welding,W-02,0.54,,1454.69,3.49,8.89
U-1212,laser_cutting,L-02,22.36,,323.07,14.25,19.89
U-1212,bending,B-01,9.52,75.14,25.96,,6.83
U-1212,welding,W-02,0.53,,1510.71,3.46,8.56
U-1213,laser_cutting,L-03,22.83,,335.15,13.2,20.1
U-1213,bending,B-01,10.77,71.71,25.85,,6.53
U-1213,welding,W-02,0.5,,1529.34,2.97,10.57
U-1214,laser_cutting,L-01,18.12,,294.35,11.78,16.73
U-1214,bending,B-01,10.5,73.88,26.15,,6.62
U-1214,welding,W-02,0.59,,1416.51,3.33,10.1
U-1215,laser_cutting,L-03,21.51,,309.47,13.33,18.82
U-1215,bending,B-02,11.22,82.83,28.47,,7.51
U-1215,welding,W-01,0.57,,1516.33,2.73,8.21
U-1216,laser_cutting,L-03,21.96,,317.34,13.14,17.59
U-1216,bending,B-01,9.48,80.83,28.16,,7.36
U-1216,welding,W-01,0.55,,1489.87,3.14,8.57
U-1217,laser_cutting,L-02,19.4,,297.28,13.95,17.19
U-1217,bending,B-02,10.54,77.72,27.38,,7.02
U-1217,welding,W-01,0.66,,1557.45,3.18,8.64
U-1218,laser_cutting,L-02,20.02,,311.92,12.86,19.56
U-1218,bending,B-01,10.56,73.72,26.27,,7.82
U-1218,welding,W-01,0.58,,1461.63,3.14,9.66
U-1219,laser_cutting,L-01,20.27,,295.71,12.93,16.72
U-1219,bending,B-01,10.26,78.29,25.83,,6.71
U-1219,welding,W-01,0.55,,1461.6,3.03,8.77
U-1220,laser_cutting,L-03,23.36,,335.94,12.92,19.1
U-1220,bending,B-01,10.06,70.74,27.89,,6.44
U-1220,welding,W-01,0.56,,1507.87,3.18,8.47
U-1221,laser_cutting,L-01,21.47,,317.3,13.33,15.62
U-1221,bending,B-01,9.89,84.23,26.12,,6.98
U-1221,welding,W-01,0.56,,1459.83,2.98,9.88
U-1222,laser_cutting,L-01,18.3,,293.7,12.76,16.78
U-1222,bending,B-01,10.82,77.05,25.79,,6.93
U-1222,welding,W-02,0.59,,1490.15,3.38,10.8
U-1223,laser_cutting,L-03,21.38,,323.88,13.59,19.27
U-1223,bending,B-02,10.65,84.74,26.97,,6.32
U-1223,welding,W-02,0.5,,1529.87,3.41,9.13
U-1224,laser_cutting,L-01,19.78,,311.19,12.57,16.38
U-1224,bending,B-02,11.23,84.16,28.52,,7.32
U-1224,welding,W-02,0.59,,1437.58,3.14,10.8
U-1225,laser_cutting,L-02,21.17,,305.95,15.39,20.55
U-1225,bending,B-01,10.37,84.13,28.07,,6.8
U-1225,welding,W-01,0.62,,1412.2,2.76,9.93
U-1226,laser_cutting,L-01,20.81,,317.54,11.85,18.48
U-1226,bending,B-01,10.92,70.72,27.69,,6.59
U-1226,welding,W-01,0.61,,1386.56,2.99,8.13
U-1227,laser_cutting,L-03,22.41,,335.4,13.47,18.22
U-1227,bending,B-01,9.58,74.8,26.89,,7.29
U-1227,welding,W-01,0.55,,1501.26,3.24,8.48
U-1228,laser_cutting,L-02,19.7,,315.49,13.91,16.52
U-1228,bending,B-01,10.59,72.41,26.11,,7.43
U-1228,welding,W-01,0.56,,1551.62,3.19,8.9
U-1229,laser_cutting,L-03,19.97,,322.95,15.09,18.76
U-1229,bending,B-01,9.37,70.31,27.29,,7.5
U-1229,welding,W-02,0.52,,1565.6,3.4,9.61
U-1230,laser_cutting,L-03,23.15,,342.94,15.23,16.99
U-1230,bending,B-02,10.49,88.76,28.9,,7.56
U-1230,welding,W-02,0.57,,1458.69,3.17,8.78
U-1231,laser_cutting,L-01,18.31,,301.13,13.47,16.31
U-1231,bending,B-02,11.29,90.01,27.85,,6.41
U-1231,welding,W-02,0.54,,1418.2,3.1,10.88
U-1232,laser_cutting,L-03,20.41,,306.26,12.65,16.85
U-1232,bending,B-02,11.75,81.11,29.18,,7.58
U-1232,welding,W-02,0.5,,1470.58,3.22,10.92
U-1233,laser_cutting,L-02,22.32,,323.31,13.3,20.3
U-1233,bending,B-01,9.06,80.24,26.62,,7.09
U-1233,welding,W-02,0.6,,1564.54,3.43,9.52
U-1234,laser_cutting,L-02,19.74,,324.75,14.69,16.85
U-1234,bending,B-01,9.42,73.89,27.85,,7.75
U-1234,welding,W-01,0.64,,1503.66,2.97,9.2
U-1235,laser_cutting,L-02,21.28,,331.45,14.84,18.23
U-1235,bending,B-02,11.26,75.14,27.39,,6.74
U-1235,welding,W-01,0.61,,1401.89,2.93,8.32
U-1236,laser_cutting,L-01,18.2,,303.26,13.92,19.27
U-1236,bending,B-01,9.22,85.27,26.26,,7.43
U-1236,welding,W-02,0.6,,1402.18,3.14,8.79
U-1237,laser_cutting,L-02,21.78,,303.05,13.27,17.47
U-1237,bending,B-01,10.93,75.53,26.84,,6.31
U-1237,welding,W-01,0.63,,1493.67,2.73,9.5
U-1238,laser_cutting,L-01,18.54,,289.51,13.89,15.89
U-1238,bending,B-01,10.87,83.08,28.43,,6.65
U-1238,welding,W-01,0.65,,1411.98,3.04,8.95
U-1239,laser_cutting,L-02,18.96,,296.5,14.28,17.74
U-1239,bending,B-01,10.43,82.96,27.99,,6.52
U-1239,welding,W-01,0.6,,1539.6,2.83,9.47
U-1240,laser_cutting,L-03,22.56,,314.53,14.85,19.88
U-1240,bending,B-02,10.19,82.77,28.59,,6.46
U-1240,welding,W-01,0.65,,1521.62,2.75,9.11
U-1241,laser_cutting,L-01,19.28,,314.76,13.79,16.94
U-1241,bending,B-02,10.54,81.2,27.03,,7.09
U-1241,welding,W-01,0.6,,1445.64,2.92,9.29
U-1242,laser_cutting,L-01,19.35,,287.16,13.14,17.8
U-1242,bending,B-01,10.21,78.43,27.61,,8.01
U-1242,welding,W-01,0.6,,1435.39,2.72,8.83
U-1243,laser_cutting,L-02,19.98,,304.31,13.88,19.62
U-1243,bending,B-01,9.48,77.83,26.65,,7.56
U-1243,welding,W-02,0.52,,1558.66,3.15,9.0
U-1244,laser_cutting,L-02,19.24,,302.4,15.24,20.59
U-1244,bending,B-02,11.45,84.61,30.2,,6.76
U-1244,welding,W-02,0.51,,1402.0,3.52,10.46
U-1245,laser_cutting,L-03,23.13,,326.45,12.82,16.28
U-1245,bending,B-02,10.15,87.73,28.54,,7.12
U-1245,welding,W-02,0.56,,1582.68,3.25,9.83
U-1246,laser_cutting,L-02,21.76,,302.68,14.69,20.68
U-1246,bending,B-02,10.72,77.98,28.38,,7.01
U-1246,welding,W-01,0.56,,1387.46,3.08,8.22
U-1247,laser_cutting,L-01,20.89,,304.8,13.0,15.77
U-1247,bending,B-02,10.1,78.01,26.94,,6.48
U-1247,welding,W-01,0.65,,1468.68,2.89,9.88
U-1248,laser_cutting,L-02,19.92,,332.05,12.89,17.41
U-1248,bending,B-01,9.72,76.54,28.49,,6.96
U-1248,welding,W-02,0.5,,1469.31,3.2,9.72
U-1249,laser_cutting,L-03,21.52,,331.7,13.2,17.19
U-1249,bending,B-02,10.81,76.57,27.28,,6.32
U-1249,welding,W-01,0.59,,1481.15,3.07,9.59
U-1250,laser_cutting,L-03,20.64,,323.22,15.13,16.43
U-1250,bending,B-01,10.1,79.42,27.94,,6.75
U-1250,welding,W-01,0.6,,1529.03,3.01,8.24
U-1251,laser_cutting,L-02,19.26,,306.71,14.68,20.54
U-1251,bending,B-02,11.84,79.54,26.9,,7.57
U-1251,welding,W-01,0.56,,1484.12,3.0,8.13
U-1252,laser_cutting,L-03,22.11,,331.9,13.35,17.45
U-1252,bending,B-02,9.96,83.94,28.45,,7.26
U-1252,welding,W-01,0.62,,1436.96,3.11,10.06
U-1253,laser_cutting,L-01,19.84,,296.16,12.34,18.04
U-1253,bending,B-01,10.65,83.74,27.1,,7.52
U-1253,welding,W-02,0.6,,1460.92,3.01,10.57
U-1254,laser_cutting,L-01,21.2,,309.65,13.01,15.56
U-1254,bending,B-02,11.48,83.34,30.05,,6.39
U-1254,welding,W-01,0.57,,1464.14,3.08,9.35
U-1255,laser_cutting,L-02,21.95,,320.04,12.99,18.19
U-1255,bending,B-01,10.37,83.97,26.36,,7.83
U-1255,welding,W-01,0.55,,1443.9,3.21,8.99
U-1256,laser_cutting,L-02,22.1,,314.86,15.37,18.29
U-1256,bending,B-02,10.49,83.49,29.23,,7.95
U-1256,welding,W-01,0.61,,1503.01,2.93,10.25
U-1257,laser_cutting,L-03,20.67,,309.99,15.4,19.0
U-1257,bending,B-01,10.68,85.75,27.16,,6.86
U-1257,welding,W-02,0.52,,1532.81,3.49,9.19
U-1258,laser_cutting,L-01,20.91,,293.57,12.87,18.68
U-1258,bending,B-01,10.08,81.89,28.2,,7.4
U-1258,welding,W-01,0.56,,1470.12,3.27,8.96
U-1259,laser_cutting,L-02,20.53,,312.38,15.1,18.05
U-1259,bending,B-01,10.93,79.68,29.1,,7.77
U-1259,welding,W-02,0.59,,1532.25,2.91,10.41
U-1260,laser_cutting,L-03,24.12,,310.48,13.23,17.15
U-1260,bending,B-01,10.47,71.45,26.91,,7.8
U-1260,welding,W-02,0.5,,1415.71,3.04,10.14
U-1261,laser_cutting,L-02,21.25,,308.06,14.05,20.61
U-1261,bending,B-01,9.48,81.8,28.28,,6.86
U-1261,welding,W-02,0.53,,1507.47,2.88,9.22
U-1262,laser_cutting,L-01,18.74,,307.5,12.1,16.81
U-1262,bending,B-01,10.12,70.29,25.93,,7.84
U-1262,welding,W-02,0.54,,1578.73,3.2,10.12
U-1263,laser_cutting,L-01,18.76,,315.83,12.88,16.58
U-1263,bending,B-01,9.78,84.38,25.75,,7.65
U-1263,welding,W-01,0.57,,1475.55,2.98,8.68
U-1264,laser_cutting,L-03,20.18,,329.19,12.76,19.23
U-1264,bending,B-01,10.45,71.97,27.08,,7.15
U-1264,welding,W-01,0.64,,1508.11,3.03,9.67
U-1265,laser_cutting,L-02,19.19,,312.89,14.31,17.35
U-1265,bending,B-02,10.4,83.67,29.14,,6.46
U-1265,welding,W-02,0.54,,1439.22,3.16,9.52
U-1266,laser_cutting,L-02,20.25,,299.94,13.43,18.78
U-1266,bending,B-01,10.51,75.38,28.26,,6.57
U-1266,welding,W-02,0.5,,1560.52,3.25,9.99
U-1267,laser_cutting,L-02,22.06,,295.21,14.05,18.58
U-1267,bending,B-01,10.36,73.44,28.45,,7.71
U-1267,welding,W-02,0.53,,1518.23,3.12,9.27
U-1268,laser_cutting,L-03,21.82,,338.03,15.2,18.65
U-1268,bending,B-01,10.42,83.05,28.66,,7.03
U-1268,welding,W-02,0.53,,1549.33,2.93,10.52
U-1269,laser_cutting,L-01,21.23,,302.93,12.28,19.27
U-1269,bending,B-02,11.14,89.28,26.61,,6.72
U-1269,welding,W-01,0.65,,1459.29,3.15,10.35
U-1270,laser_cutting,L-02,20.18,,297.98,12.6,18.22
U-1270,bending,B-02,10.25,76.49,27.64,,7.69
U-1270,welding,W-02,0.56,,1451.93,3.06,9.76
U-1271,laser_cutting,L-01,18.22,,298.85,12.95,17.44
U-1271,bending,B-02,11.61,89.24,29.74,,7.29
U-1271,welding,W-01,0.6,,1431.33,3.28,8.8
U-1272,laser_cutting,L-02,20.85,,311.96,14.84,19.53
U-1272,bending,B-01,9.11,80.6,28.48,,7.19
U-1272,welding,W-02,0.6,,1515.84,3.4,10.45
U-1273,laser_cutting,L-02,20.12,,328.87,13.69,17.65
U-1273,bending,B-02,10.76,75.54,29.04,,6.81
U-1273,welding,W-02,0.55,,1464.72,3.42,9.29
U-1274,laser_cutting,L-02,21.8,,318.78,12.9,18.49
U-1274,bending,B-02,11.69,77.64,27.33,,7.55
U-1274,welding,W-02,0.51,,1451.87,3.15,10.29
U-1275,laser_cutting,L-02,20.94,,322.88,12.68,16.24
U-1275,bending,B-01,10.71,70.28,28.94,,6.49
U-1275,welding,W-01,0.59,,1470.19,3.24,9.92
U-1276,laser_cutting,L-02,21.76,,329.11,14.36,19.63
U-1276,bending,B-01,9.97,76.69,29.08,,6.65
U-1276,welding,W-01,0.62,,1477.63,2.76,9.93
U-1277,laser_cutting,L-03,22.66,,333.04,14.39,17.64
U-1277,bending,B-02,10.02,81.11,26.78,,7.3
U-1277,welding,W-01,0.62,,1386.35,3.04,9.82
U-1278,laser_cutting,L-03,22.62,,321.21,13.42,17.89
U-1278,bending,B-01,10.81,83.47,27.1,,6.5
U-1278,welding,W-02,0.54,,1506.06,3.16,10.33
U-1279,laser_cutting,L-02,21.93,,308.71,13.51,18.33
U-1279,bending,B-01,9.31,70.68,28.97,,6.72
U-1279,welding,W-02,0.6,,1467.52,3.28,8.64
U-1280,laser_cutting,L-03,21.5,,318.4,14.94,16.66
U-1280,bending,B-02,11.23,85.43,26.68,,6.36
U-1280,welding,W-02,0.56,,1557.87,3.49,10.43
U-1281,laser_cutting,L-03,20.94,,330.46,13.87,20.09
U-1281,bending,B-02,11.36,86.66,28.04,,7.43
U-1281,welding,W-02,0.55,,1569.65,3.22,10.76
U-1282,laser_cutting,L-02,22.27,,304.45,15.12,20.3
U-1282,bending,B-01,9.07,77.96,26.19,,6.62
U-1282,welding,W-02,0.6,,1443.71,3.4,8.69
U-1283,laser_cutting,L-02,21.38,,315.62,13.39,16.37
U-1283,bending,B-02,9.99,78.88,27.77,,7.77
U-1283,welding,W-02,0.6,,1518.87,3.05,8.71
U-1284,laser_cutting,L-02,22.97,,323.68,13.19,16.67
U-1284,bending,B-02,10.04,85.16,28.68,,7.89
U-1284,welding,W-02,0.56,,1417.06,3.37,8.72
U-1285,laser_cutting,L-02,21.72,,301.04,13.96,19.52
U-1285,bending,B-01,10.34,72.17,28.97,,6.53
U-1285,welding,W-01,0.57,,1461.01,3.07,9.83
U-1286,laser_cutting,L-03,23.41,,328.31,14.02,17.63
U-1286,bending,B-02,11.8,81.99,28.2,,7.37
U-1286,welding,W-02,0.52,,1447.61,3.19,10.66
U-1287,laser_cutting,L-02,19.78,,314.71,13.25,18.04
U-1287,bending,B-02,10.94,76.68,27.13,,6.75
U-1287,welding,W-01,0.56,,1521.92,3.26,10.23
U-1288,laser_cutting,L-02,19.25,,331.38,13.42,18.41
U-1288,bending,B-02,11.89,88.1,26.86,,7.79
U-1288,welding,W-02,0.51,,1403.42,3.23,10.86
U-1289,laser_cutting,L-01,18.44,,321.95,12.8,15.34
U-1289,bending,B-02,11.85,79.83,27.12,,7.52
U-1289,welding,W-02,0.55,,1455.81,2.91,10.14
U-1290,laser_cutting,L-01,21.33,,321.25,13.33,16.98
U-1290,bending,B-02,10.62,86.02,26.89,,6.38
U-1290,welding,W-02,0.51,,1424.89,2.97,8.62
U-1291,laser_cutting,L-01,20.42,,307.24,11.84,15.9
U-1291,bending,B-01,10.71,84.67,28.98,,7.27
U-1291,welding,W-01,0.62,,1488.28,3.24,9.57
