unit_id,process_step,machine_id,queue_length_units,average_wait_time_min,queue_timestamp
U-1259,bending,B-01,11,24,09:33
U-1259,welding,W-02,10,20,10:12
U-1260,laser_cutting,L-03,3,14,09:14
U-1260,bending,B-01,6,19,09:38
U-1260,welding,W-02,9,13,10:15
U-1261,laser_cutting,L-02,7,24,09:07
U-1261,bending,B-01,2,26,09:40
U-1261,welding,W-02,10,21,10:15
U-1262,laser_cutting,L-01,7,36,08:52
U-1262,bending,B-01,10,33,09:40
U-1262,welding,W-02,9,27,10:29
U-1263,laser_cutting,L-01,2,12,09:30
U-1263,bending,B-01,2,37,09:52
U-1263,welding,W-01,8,27,10:43
U-1264,laser_cutting,L-03,8,30,09:39
U-1264,bending,B-01,11,15,10:27
U-1264,welding,W-01,5,33,11:01
U-1265,laser_cutting,L-02,10,33,10:20
U-1265,bending,B-02,3,13,11:12
U-1265,welding,W-02,10,25,11:42
U-1266,laser_cutting,L-02,11,14,09:43
U-1266,bending,B-01,8,28,10:07
U-1266,welding,W-02,5,12,10:45
U-1267,laser_cutting,L-02,2,24,09:19
U-1267,bending,B-01,11,35,09:55
U-1267,welding,W-02,11,26,10:47
U-1268,laser_cutting,L-03,10,29,08:51
U-1268,bending,B-01,10,39,09:32
U-1268,welding,W-02,8,23,10:24
U-1269,laser_cutting,L-01,2,9,09:01
U-1269,bending,B-02,5,12,09:23
U-1269,welding,W-01,11,8,09:52
U-1270,laser_cutting,L-02,7,39,09:44
U-1270,bending,B-02,2,8,10:39
U-1270,welding,W-02,5,11,11:06
U-1271,laser_cutting,L-01,3,17,10:49
U-1271,bending,B-02,5,17,11:19
U-1271,welding,W-01,2,12,11:47
U-1272,laser_cutting,L-02,11,39,09:52
U-1272,bending,B-01,7,37,10:39
U-1272,welding,W-02,5,29,11:25
U-1273,laser_cutting,L-02,2,28,08:31
U-1273,bending,B-02,6,25,09:17
U-1273,welding,W-02,3,33,09:55
U-1274,laser_cutting,L-02,8,24,09:17
U-1274,bending,B-02,10,26,09:54
U-1274,welding,W-02,3,23,10:40
U-1275,laser_cutting,L-02,7,39,09:51
U-1275,bending,B-01,5,10,10:46
U-1275,welding,W-01,3,27,11:14
U-1276,laser_cutting,L-02,10,38,10:07
U-1276,bending,B-01,4,16,10:55
U-1276,welding,W-01,5,15,11:23
U-1277,laser_cutting,L-03,10,11,09:23
U-1277,bending,B-02,11,26,09:49
U-1277,welding,W-01,2,21,10:37
U-1278,laser_cutting,L-03,5,23,08:42
U-1278,bending,B-01,8,21,09:11
U-1278,welding,W-02,7,21,09:50
U-1279,laser_cutting,L-02,7,27,09:22
U-1279,bending,B-01,10,15,10:02
U-1279,welding,W-02,10,25,10:30
U-1280,laser_cutting,L-03,4,32,10:12
U-1280,bending,B-02,10,14,10:59
U-1280,welding,W-02,5,24,11:26
U-1281,laser_cutting,L-03,10,17,10:40
U-1281,bending,B-02,6,38,11:10
U-1281,welding,W-02,2,24,11:59
U-1282,laser_cutting,L-02,3,23,08:08
U-1282,bending,B-01,8,22,08:46
U-1282,welding,W-02,8,11,09:18
U-1283,laser_cutting,L-02,4,31,08:12
U-1283,bending,B-02,2,24,08:58
U-1283,welding,W-02,6,21,09:34
U-1284,laser_cutting,L-02,11,23,09:44
U-1284,bending,B-02,5,22,10:19
U-1284,welding,W-02,7,31,10:59
U-1285,laser_cutting,L-02,11,15,09:10
U-1285,bending,B-01,10,38,09:41
U-1285,welding,W-01,9,39,10:36
U-1286,laser_cutting,L-03,6,29,10:35
U-1286,bending,B-02,7,33,11:13
U-1286,welding,W-02,7,21,12:01
U-1287,laser_cutting,L-02,9,25,08:23
U-1287,bending,B-02,10,38,08:59
U-1287,welding,W-01,8,11,09:54
U-1288,laser_cutting,L-02,8,17,10:54
U-1288,bending,B-02,8,31,11:24
U-1288,welding,W-02,6,32,12:11
U-1289,laser_cutting,L-01,10,17,09:25
U-1289,bending,B-02,11,16,09:54
U-1289,welding,W-02,8,11,10:21
U-1290,laser_cutting,L-01,10,8,09:04
U-1290,bending,B-02,7,20,09:19
U-1290,welding,W-02,11,12,09:53
U-1291,laser_cutting,L-01,2,8,08:59
U-1291,bending,B-01,10,37,09:14
U-1291,welding,W-01,2,32,10:08
